id,category,price_tier,open_time,close_time,neighborhood,average_rating,good_for_kids
915,family style,expensive,11:03,22:31,Garment District,1.7,true
916,contemporary,expensive,12:28,22:42,Union Square,4.5,false
917,buffet,expensive,12:25,23:10,Little Australia,3.5,true
918,fast food,expensive,11:32,22:51,Battery Park City,2.0,false
919,contemporary,medium,10:42,21:33,Hudson Square,3.0,true
920,family style,cheap,12:09,22:15,Madison Square,1.0,false
921,fine dining,cheap,12:19,22:29,Loisaida,1.3,false
922,fine dining,expensive,10:56,23:00,NoMad,2.6,true
923,fast food,medium,11:45,21:53,Alphabet City,1.9,true
924,buffet,medium,11:17,23:20,Union Square,1.8,false
925,fast food,medium,10:46,23:12,West Village,2.9,true
926,fine dining,expensive,10:46,23:32,Hudson Yards,1.3,false
927,cafe,medium,11:45,23:52,Silicon Alley,4.7,true
928,casual dining,cheap,11:39,21:59,Two Bridges,3.0,false
929,buffet,medium,12:00,22:08,Columbus Circle,3.2,true
930,cafe,medium,11:57,21:46,Theater District,1.2,true
931,family style,medium,10:52,23:30,Stuyvesant Town,2.1,false
932,fine dining,expensive,10:30,23:03,South Village,4.3,true
933,fine dining,cheap,11:32,23:21,Manhattan Valley,4.9,true
934,contemporary,medium,11:04,21:30,East Village,2.7,true
935,cafe,expensive,11:27,23:35,Lower East Side,2.8,false
936,family style,cheap,10:53,22:30,Hudson Square,2.0,true
937,fast food,medium,11:36,21:46,Flatiron District,2.1,true
938,casual dining,medium,11:13,22:39,Financial District,4.3,false
939,casual dining,cheap,11:33,22:01,Little Australia,1.1,false
940,fine dining,medium,11:46,23:39,Cooperative Village,4.3,true
941,casual dining,expensive,11:06,22:23,Union Square,4.5,true
942,fast food,medium,12:10,23:58,Hell's Kitchen,4.1,false
943,fast food,expensive,10:36,21:32,Hudson Yards,2.0,true
944,fine dining,medium,11:21,22:54,Carnegie Hill,3.1,true
945,cafe,expensive,10:41,21:53,Alphabet City,2.0,true
946,fast food,cheap,11:51,23:51,Little Fuzhou,3.2,true
947,fine dining,cheap,11:43,21:40,Alphabet City,4.4,false
948,buffet,expensive,12:12,21:40,Stuyvesant Town,1.3,true
949,fast food,cheap,11:37,22:46,Nolita,2.2,false
950,cafe,expensive,11:52,22:51,West Village,3.5,false
951,buffet,cheap,11:26,22:58,Two Bridges,1.8,true
952,fast food,medium,12:20,23:23,Meatpacking District,4.6,true
953,cafe,medium,11:25,21:58,Carnegie Hill,4.4,false
954,buffet,expensive,11:25,23:42,World Trade Center,4.1,true
955,contemporary,medium,11:44,21:33,Civic Center,3.4,true
956,casual dining,medium,12:28,22:51,Alphabet City,4.1,true
957,cafe,medium,11:12,22:41,Loisaida,1.1,false
958,fine dining,expensive,12:23,22:50,SoHo,1.7,true
959,family style,cheap,12:23,22:48,World Trade Center,2.2,false
960,fine dining,expensive,12:28,21:36,Loisaida,4.1,false
961,fast food,cheap,12:21,21:32,Battery Park City,3.6,true
962,family style,cheap,11:43,23:53,NoMad,5.0,true
963,contemporary,medium,11:39,21:38,World Trade Center,1.5,false
964,fast food,cheap,11:28,23:30,Flatiron District,4.1,false
965,casual dining,cheap,11:10,23:04,Herald Square,4.6,true
966,buffet,expensive,12:21,23:32,Kips Bay,4.0,false
967,family style,cheap,11:15,23:35,NoHo,4.7,true
968,contemporary,medium,11:54,22:05,West Village,4.6,false
969,cafe,cheap,11:51,22:57,Flatiron District,2.8,false
970,buffet,cheap,10:58,22:25,Bowery,1.2,false
971,fine dining,cheap,12:15,22:26,Essex Crossing,3.3,false
972,casual dining,cheap,10:42,23:34,Hudson Yards,1.8,false
973,contemporary,expensive,11:36,23:52,Union Square,4.5,false
974,casual dining,cheap,11:42,23:12,Chinatown,1.2,true
975,buffet,cheap,12:03,21:58,Meatpacking District,1.5,false
976,contemporary,medium,10:50,22:12,Herald Square,4.2,true
977,fine dining,medium,12:28,21:47,Battery Park City,2.1,false
978,cafe,cheap,12:14,22:36,Little Australia,4.6,true
979,family style,medium,11:42,22:36,Bowery,4.3,true
980,contemporary,cheap,10:43,23:51,Alphabet City,2.8,true
981,fine dining,cheap,12:24,23:14,Columbus Circle,3.8,true
982,contemporary,cheap,10:55,22:23,Gramercy Park,3.1,false
983,contemporary,expensive,11:59,21:43,Times Square,3.2,true
984,buffet,cheap,11:40,22:52,Garment District,3.4,true
985,family style,medium,11:40,21:56,Kips Bay,4.8,false
986,fine dining,expensive,11:54,22:31,Meatpacking District,2.5,false
987,casual dining,medium,11:18,21:35,Riverside South,3.6,true
988,buffet,expensive,12:16,22:00,Flatiron District,3.7,true
989,contemporary,medium,10:52,23:15,Diamond District,3.7,false
990,casual dining,medium,12:29,21:34,Korea town,3.4,false
991,fast food,cheap,11:35,23:20,Penn South,1.7,true
992,buffet,medium,11:51,22:49,Columbus Circle,1.4,false
993,casual dining,cheap,10:31,23:53,Chelsea,4.0,false
994,casual dining,expensive,10:50,22:57,Two Bridges,1.0,true
995,contemporary,cheap,10:50,22:35,Lower East Side,4.6,false
996,casual dining,medium,11:37,22:25,Alphabet City,3.8,false
997,cafe,expensive,11:17,22:20,Chelsea,4.5,true
998,fast food,expensive,11:41,22:18,Carnegie Hill,3.3,false
999,contemporary,medium,11:47,21:53,Cooperative Village,2.2,false
1000,casual dining,cheap,10:39,22:21,Cooperative Village,3.0,false
